0	463.82553	0.02984	95.833333	144406.2058
0.05	463.824077	0.022839	96.016667	145091.158
0.1	463.819659	0.019993	96.177778	136720.477
0.15	463.816864	0.016775	96.083333	136096.3535
0.2	463.820732	0.01809	95.777778	136210.5792
0.25	463.817704	0.017301	95.672222	131125.4514
0.3	463.814664	0.015261	95.794444	128847.0637
0.35	463.820281	0.018503	95.427778	125573.0685
0.4	463.820973	0.020143	95.2	124785.5118
0.45	463.825755	0.020094	95.011111	125107.0167
0.5	463.830551	0.022383	94.605556	122643.1361
0.55	463.835911	0.024309	94.35	121706.0327
0.6	463.834399	0.022494	94.216667	121247.8526
0.65	463.843025	0.02552	93.794444	120170.9663
0.7	463.852247	0.029616	93.155556	118274.9457
0.75	463.853918	0.034794	92.772222	115528.1907
0.8	463.87759	0.03968	91.672222	110777.6595
0.85	463.892575	0.049742	90.516667	107253.4109
0.9	463.92499	0.062659	88.505556	103708.0657
0.95	464.020912	0.101132	84.566667	100013.3587
1	465.50824	0.506907	57.388889	85154.72178
