fnr 	f[OB] 	 d[OB] 	 h[OB] 	 t[OB] 	cmp_give[OB][IMPROVED] 	cmp_give[OB][EQUAL] 	cmp_give[OB][NONIMPROVED] 	f[BB] 	 d[BB] 	 h[BB] 	 t[BB] 	cmp_give[BB][IMPROVED] 	cmp_give[BB][EQUAL] 	cmp_give[BB][NONIMPROVED]
results\hma6_tri_insert_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.150000	0	900	0	463.826043	0.030928	42.011111	920.487778	388	512	0
results\hma7_tri_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.134444	0	900	0	463.822451	0.029423	42.177778	1312.655556	388	512	0
results\hma8_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	22428814.135556	0	900	0	463.814433	0.019765	42.322222	4509719.777778	388	512	0
results\hma9_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.177778	0	900	0	463.818073	0.018684	42.305556	167.441111	388	512	0
results\hma9_tri_insert_swap_p20_itr2000_ptr30_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.303333	0	900	0	463.837546	0.028478	41.694444	141.644444	388	512	0
results\hma10_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.437778	0	900	0	463.889854	0.056338	40.683333	150.302222	388	511	1
results\hma11_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.164444	0	900	0	463.817750	0.021977	42.311111	167.105556	388	512	0
results\hma12_pms_s_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.136667	0	900	0	463.823038	0.032582	42.061111	165.966667	388	512	0
results\hma13_pms_i_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.172222	0	900	0	463.826511	0.029349	41.983333	140.654444	388	512	0
results\hma14_pms_non_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.133333	0	900	0	463.847858	0.058003	41.433333	141.588889	388	512	0
results\hma16_pms_mpx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.150000	0	900	0	463.815565	0.020759	42.305556	152.071111	388	512	0
results\hma15_pms_ufx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.856308	-0.000000	99.888889	0.171111	0	899	1	463.821085	0.024583	42.411111	175.292222	388	512	0
results\hma17_pms_puqd_mpx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.192222	0	900	0	463.819031	0.017454	42.105556	147.490000	388	512	0
results\hma17_pms_puqd_is_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.184444	0	900	0	463.818788	0.017795	42.011111	154.016667	388	512	0
