(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	
Ni_8_2-1_1_1	8	2	149.574700	149.574645	1462349164	20	149.574645	149.574645	149.574645	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_2	8	2	134.877500	134.877454	1462349164	20	134.877454	134.877454	134.877454	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_3	8	2	135.411200	135.411204	1462349164	20	135.411204	135.411204	135.411204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_4	8	2	75.563450	75.563450	1462349164	20	75.563450	75.563450	75.563450	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_5	8	2	122.633800	122.633748	1462349164	20	122.633748	122.633748	122.633748	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_6	8	2	140.173100	140.173104	1462349164	20	140.173104	140.173104	140.173104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_7	8	2	198.727000	198.726974	1462349164	20	198.726974	198.726974	198.726974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_8	8	2	138.996300	138.996336	1462349164	20	138.996336	138.996336	138.996336	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_9	8	2	172.107900	172.107905	1462349164	20	172.107905	172.107905	172.107905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_10	8	2	212.635600	212.635622	1462349164	20	212.635622	212.635622	212.635622	0.000000	1.750000	8.000000	0.000000	0.150000	1.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_11	8	2	158.547400	158.547370	1462349164	20	158.547370	158.547370	158.547370	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_12	8	2	166.841800	166.841771	1462349164	20	166.841771	166.841771	166.841771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_13	8	2	149.109500	149.109537	1462349164	20	149.109537	149.109537	149.109537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
Ni_8_2-1_1_14	8	2	136.146200	136.146211	1462349164	20	136.146211	136.146211	136.146211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	20	0	20
