(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_give_result[0]  	  cmp_give_result[1]  	  cmp_give_result[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	cmp_real_result[0]  	  cmp_real_result[1]  	  cmp_real_result[2]
Ni_8_2-1_1_1	2	8	149.575	149.575	1460565045	20	149.575	149.575	149.575	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_2	2	8	134.877	134.877	1460565045	20	134.877	134.877	134.877	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_3	2	8	135.411	135.411	1460565045	20	135.411	135.411	135.411	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_4	2	8	75.5635	75.5635	1460565046	20	75.5635	75.5635	75.5635	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_5	2	8	122.634	122.634	1460565046	20	122.634	122.634	122.634	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_6	2	8	140.173	140.173	1460565046	20	140.173	140.173	140.173	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_7	2	8	198.727	198.727	1460565047	20	198.727	198.727	198.727	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_8	2	8	138.996	138.996	1460565047	20	138.996	138.996	138.996	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_9	2	8	172.108	172.108	1460565047	20	172.108	172.108	172.108	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_10	2	8	212.636	212.636	1460565048	20	212.636	212.636	212.636	0	0	2	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_11	2	8	158.547	158.547	1460565048	20	158.547	158.547	158.547	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_12	2	8	166.842	166.842	1460565049	20	166.842	166.842	166.842	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_13	2	8	149.109	149.11	1460565049	20	149.11	149.11	149.11	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_14	2	8	136.146	136.146	1460565049	20	136.146	136.146	136.146	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_15	2	8	142.977	142.977	1460565050	20	142.977	142.977	142.977	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_16	2	8	142.064	142.064	1460565050	20	142.064	142.064	142.064	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_17	2	8	161.298	161.298	1460565051	20	161.298	161.298	161.298	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_18	2	8	150.291	150.291	1460565051	20	150.291	150.291	150.291	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_19	2	8	194.179	194.179	1460565051	20	194.179	194.179	194.179	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_20	2	8	122.064	122.064	1460565052	20	122.064	122.064	122.064	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_21	2	8	232.544	232.544	1460565052	20	232.544	232.544	232.544	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_22	2	8	106.77	106.77	1460565053	20	106.77	106.77	106.77	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_23	2	8	146.39	146.39	1460565053	20	146.39	146.39	146.39	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_24	2	8	143.455	143.455	1460565053	20	143.455	143.455	143.455	0	3	11	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_25	2	8	151.811	151.811	1460565054	20	151.811	151.811	151.811	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_2_1	2	8	160.653	160.652	1460565054	20	160.652	160.652	160.652	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
