(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_give_result[0]  	  cmp_give_result[1]  	  cmp_give_result[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	cmp_real_result[0]  	  cmp_real_result[1]  	  cmp_real_result[2]
Ni_8_2-1_1_1	2	8	149.575	149.575	1460520546	20	149.575	149.575	149.575	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_2	2	8	134.877	134.877	1460520546	20	134.877	134.877	134.877	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_3	2	8	135.411	135.411	1460520547	20	135.411	135.411	135.411	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_4	2	8	75.5635	75.5635	1460520547	20	75.5635	75.5635	75.5635	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_5	2	8	122.634	122.634	1460520548	20	122.634	122.634	122.634	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_6	2	8	140.173	140.173	1460520548	20	140.173	140.173	140.173	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_7	2	8	198.727	198.727	1460520548	20	198.727	198.727	198.727	0	0	0	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_8	2	8	138.996	138.996	1460520548	20	138.996	138.996	138.996	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_9	2	8	172.108	172.108	1460520549	20	172.108	172.108	172.108	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_10	2	8	212.636	212.636	1460520549	20	212.636	212.636	212.636	0	0	2	0	0	1	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_11	2	8	158.547	158.547	1460520550	20	158.547	158.547	158.547	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
Ni_8_2-1_1_12	2	8	166.842	166.842	1460520550	20	166.842	166.842	166.842	0	0	0	0	0	0	0	20	0	0	20	0	0	20	0	0	20	0
